SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.343,-0.062,-0.281,-0.202,-0.163,-0.314,-0.105,-0.245,-0.295,-0.245,-0.13,-0.228,-0.141,-0.091,-0.174,-0.202,-0.295,-0.337,-0.062,-0.13
-0.382,-0.052,-0.262,-0.214,-0.18,-0.3,-0.186,-0.203,-0.192,-0.336,-0.142,-0.142,-0.208,-0.142,-0.244,-0.214,-0.224,-0.271,-0.097,-0.097
-0.256,-0.098,-0.256,-0.244,-0.193,-0.311,-0.168,-0.215,-0.236,-0.278,-0.13,-0.207,-0.26,-0.124,-0.215,-0.263,-0.232,-0.228,-0.084,-0.202
-0.271,-0.061,-0.264,-0.278,-0.161,-0.226,-0.2,-0.209,-0.2,-0.396,-0.044,-0.151,-0.226,-0.264,-0.271,-0.2,-0.191,-0.234,-0.044,-0.181
-0.232,-0.278,-0.382,-0.352,-0.176,-0.318,0.0,-0.278,-0.318,-0.176,-0.107,-0.107,-0.318,0.0,0.0,-0.176,-0.107,-0.176,-0.176,-0.176
-0.254,-0.062,-0.245,-0.293,-0.129,-0.215,-0.089,-0.23,-0.305,-0.289,-0.156,-0.235,-0.289,-0.181,-0.175,-0.268,-0.272,-0.245,-0.052,-0.136
-0.317,-0.096,-0.218,-0.231,-0.16,-0.255,-0.135,-0.16,-0.205,-0.36,-0.143,-0.16,-0.218,-0.25,-0.272,-0.25,-0.212,-0.298,-0.062,-0.116
-0.188,-0.079,-0.242,-0.308,-0.207,-0.133,-0.133,-0.207,-0.242,-0.355,-0.145,-0.188,-0.258,-0.145,-0.258,-0.376,-0.145,-0.274,-0.046,-0.121
-0.225,-0.085,-0.19,-0.358,-0.208,-0.266,-0.112,-0.225,-0.196,-0.33,-0.112,-0.208,-0.247,-0.164,-0.293,-0.19,-0.19,-0.271,-0.12,-0.143
-0.239,0.0,-0.268,-0.373,-0.206,-0.249,-0.054,-0.249,-0.334,-0.303,-0.194,-0.141,-0.141,-0.075,-0.239,-0.169,-0.169,-0.295,-0.031,-0.249
-0.315,-0.09,-0.228,-0.248,-0.112,-0.305,-0.168,-0.344,-0.184,-0.356,-0.09,-0.159,-0.176,-0.254,-0.2,-0.207,-0.184,-0.254,-0.038,-0.15
-0.206,-0.148,-0.206,-0.268,-0.223,-0.169,-0.126,-0.37,-0.282,-0.307,-0.102,-0.361,-0.188,-0.075,-0.102,-0.254,-0.188,-0.239,-0.043,-0.188
-0.167,-0.147,-0.186,-0.292,-0.251,-0.265,0.0,-0.279,-0.279,-0.292,-0.147,-0.236,-0.147,-0.251,-0.167,-0.22,-0.22,-0.304,-0.125,-0.167
-0.439,-0.086,-0.238,-0.191,-0.168,-0.348,-0.107,-0.176,-0.096,-0.364,-0.074,-0.126,-0.212,-0.176,-0.267,-0.191,-0.232,-0.294,-0.036,-0.05
-0.336,-0.056,-0.249,-0.152,-0.186,-0.305,-0.096,-0.192,-0.192,-0.287,-0.121,-0.222,-0.222,-0.228,-0.186,-0.239,-0.249,-0.244,-0.129,-0.264
-0.379,-0.105,-0.135,-0.142,-0.052,-0.3,-0.336,-0.135,-0.113,-0.219,-0.128,-0.168,-0.3,-0.192,-0.208,-0.395,-0.267,-0.203,-0.03,-0.128
-0.193,-0.063,-0.259,-0.162,-0.259,-0.406,-0.127,-0.27,-0.281,-0.259,-0.108,-0.146,-0.208,-0.087,-0.162,-0.208,-0.27,-0.348,-0.087,-0.108
-0.295,-0.025,-0.275,-0.26,-0.174,-0.282,-0.13,-0.275,-0.105,-0.295,-0.077,-0.13,-0.245,-0.153,-0.245,-0.275,-0.245,-0.314,-0.105,-0.174
-0.27,-0.007,-0.288,-0.2,-0.159,-0.271,-0.069,-0.278,-0.254,-0.236,-0.105,-0.31,-0.169,-0.181,-0.105,-0.283,-0.294,-0.289,-0.111,-0.194
-0.211,-0.11,-0.306,-0.237,-0.211,-0.25,-0.211,-0.285,-0.306,-0.351,-0.129,-0.181,-0.196,-0.196,-0.224,-0.165,-0.165,-0.165,-0.037,-0.211
-0.344,-0.018,-0.178,-0.302,-0.128,-0.285,-0.044,-0.293,-0.184,-0.33,-0.136,-0.15,-0.164,-0.257,-0.247,-0.241,-0.247,-0.276,0.0,-0.171
-0.252,-0.073,-0.233,-0.233,-0.222,-0.456,-0.091,-0.233,-0.164,-0.296,-0.177,-0.222,-0.137,-0.164,-0.212,-0.252,-0.201,-0.189,-0.073,-0.137
-0.085,-0.085,-0.296,-0.265,-0.085,-0.265,-0.142,-0.23,-0.35,-0.393,-0.085,-0.189,-0.085,-0.23,-0.142,-0.23,-0.142,-0.393,0.0,-0.189
-0.259,-0.126,-0.194,-0.228,-0.11,-0.249,-0.155,-0.169,-0.217,-0.319,-0.093,-0.126,-0.367,-0.228,-0.295,-0.249,-0.206,-0.239,-0.11,-0.194
-0.326,-0.041,-0.181,-0.279,-0.199,-0.298,-0.122,-0.19,-0.215,-0.315,-0.172,-0.215,-0.181,-0.207,-0.199,-0.286,-0.19,-0.266,-0.041,-0.199
-0.356,-0.032,-0.356,-0.302,-0.114,-0.256,-0.13,-0.294,-0.146,-0.369,-0.146,-0.13,-0.174,-0.077,-0.2,-0.245,-0.212,-0.266,0.0,-0.114
-0.256,-0.063,-0.267,-0.267,-0.205,-0.244,-0.205,-0.232,-0.308,-0.244,-0.144,-0.176,-0.191,-0.191,-0.126,-0.289,-0.191,-0.244,-0.086,-0.256
-0.326,-0.051,-0.281,-0.247,-0.154,-0.276,-0.193,-0.326,-0.247,-0.265,-0.146,-0.201,-0.186,-0.127,-0.178,-0.247,-0.221,-0.276,-0.021,-0.127
-0.389,0.0,-0.24,-0.24,-0.099,-0.262,-0.134,-0.282,-0.377,-0.262,-0.058,-0.192,-0.058,-0.099,-0.282,-0.24,-0.24,-0.262,0.0,-0.165
-0.256,-0.108,-0.205,-0.24,-0.211,-0.256,-0.164,-0.211,-0.267,-0.309,-0.108,-0.198,-0.185,-0.171,-0.198,-0.313,-0.261,-0.286,-0.058,-0.164
-0.253,-0.111,-0.298,-0.246,-0.22,-0.131,-0.121,-0.227,-0.309,-0.323,-0.121,-0.22,-0.227,-0.183,-0.246,-0.271,-0.183,-0.206,-0.1,-0.175
-0.368,0.0,-0.152,-0.328,-0.178,-0.328,-0.178,-0.053,-0.178,-0.244,-0.178,-0.053,-0.297,-0.053,-0.297,-0.091,-0.224,-0.411,-0.091,-0.123
-0.199,-0.06,-0.263,-0.29,-0.24,-0.348,-0.103,-0.256,-0.297,-0.224,-0.115,-0.17,-0.284,-0.127,-0.284,-0.224,-0.216,-0.216,-0.025,-0.139
-0.387,0.0,-0.234,-0.206,-0.111,-0.319,-0.111,-0.206,-0.167,-0.351,-0.167,-0.078,-0.241,-0.15,-0.26,-0.228,-0.221,-0.288,-0.15,-0.131
-0.241,-0.093,-0.197,-0.227,-0.213,-0.213,-0.197,-0.189,-0.254,-0.234,-0.126,-0.205,-0.241,-0.213,-0.267,-0.368,-0.318,-0.205,-0.068,-0.054
-0.333,-0.067,-0.176,-0.278,-0.164,-0.321,-0.127,-0.307,-0.285,-0.34,-0.113,-0.207,-0.152,-0.197,-0.127,-0.207,-0.253,-0.227,0.0,-0.152
-0.282,-0.05,-0.298,-0.326,-0.168,-0.312,-0.05,-0.249,-0.231,-0.231,-0.116,-0.19,-0.143,-0.143,-0.298,-0.19,-0.211,-0.339,-0.05,-0.168
-0.267,-0.149,-0.164,-0.178,-0.246,-0.267,-0.157,-0.149,-0.178,-0.403,-0.108,-0.157,-0.235,-0.211,-0.235,-0.272,-0.178,-0.281,-0.164,-0.142
-0.323,-0.026,-0.205,-0.205,-0.186,-0.214,-0.119,-0.285,-0.155,-0.352,-0.093,-0.155,-0.205,-0.317,-0.214,-0.27,-0.255,-0.285,-0.106,-0.093
-0.346,-0.129,-0.219,-0.182,-0.152,-0.266,-0.152,-0.129,-0.117,-0.293,-0.091,-0.152,-0.367,-0.104,-0.33,-0.293,-0.243,-0.258,-0.117,-0.091
-0.281,-0.122,-0.199,-0.255,-0.153,-0.199,-0.146,-0.209,-0.184,-0.387,-0.117,-0.147,-0.243,-0.236,-0.213,-0.327,-0.228,-0.278,-0.067,-0.112
-0.243,-0.085,-0.175,-0.266,-0.143,-0.287,-0.062,-0.4,-0.316,-0.266,-0.106,-0.204,-0.159,-0.266,-0.266,-0.159,-0.204,-0.204,-0.085,-0.159
-0.27,-0.148,-0.171,-0.255,-0.123,-0.299,-0.159,-0.263,-0.136,-0.278,-0.096,-0.313,-0.171,-0.11,-0.255,-0.263,-0.278,-0.285,-0.096,-0.171
-0.231,-0.062,-0.298,-0.255,-0.288,-0.266,-0.143,-0.19,-0.277,-0.255,-0.125,-0.243,-0.218,-0.218,-0.231,-0.218,-0.125,-0.255,-0.125,-0.16
-0.365,-0.171,-0.252,-0.184,0.0,-0.322,-0.197,-0.128,-0.128,-0.371,-0.076,-0.112,-0.252,-0.158,-0.298,-0.252,-0.158,-0.322,-0.112,-0.095
-0.403,-0.044,-0.211,-0.288,-0.228,-0.13,-0.13,-0.152,-0.325,-0.325,-0.193,-0.152,-0.173,-0.13,-0.152,-0.274,-0.193,-0.313,-0.105,-0.077
-0.414,-0.066,-0.266,-0.3,-0.184,-0.3,-0.112,-0.09,-0.184,-0.347,-0.112,-0.066,-0.199,-0.15,-0.278,-0.214,-0.184,-0.199,-0.112,-0.214
-0.345,-0.022,-0.172,-0.35,-0.211,-0.314,-0.12,-0.114,-0.125,-0.406,-0.067,-0.074,-0.316,-0.109,-0.324,-0.149,-0.149,-0.292,-0.046,-0.12
-0.248,-0.13,-0.203,-0.31,-0.227,-0.241,-0.13,-0.262,-0.275,-0.369,-0.108,-0.211,-0.195,-0.14,-0.178,-0.281,-0.15,-0.255,-0.023,-0.169
-0.346,0.0,-0.28,-0.178,-0.227,-0.35,-0.05,-0.153,-0.227,-0.32,-0.036,-0.306,-0.05,-0.162,-0.117,-0.252,-0.258,-0.291,-0.075,-0.24
-0.296,-0.08,-0.158,-0.296,-0.227,-0.244,-0.122,-0.218,-0.169,-0.282,-0.134,-0.095,-0.252,-0.179,-0.235,-0.244,-0.218,-0.346,-0.134,-0.218
-0.455,-0.075,-0.215,-0.307,-0.159,-0.268,-0.138,-0.197,-0.188,-0.239,-0.102,-0.06,-0.282,-0.126,-0.261,-0.239,-0.188,-0.289,-0.075,-0.06
-0.28,-0.093,-0.228,-0.302,-0.206,-0.19,-0.19,-0.235,-0.242,-0.343,-0.068,-0.221,-0.198,-0.213,-0.146,-0.235,-0.198,-0.286,-0.093,-0.198
-0.306,-0.081,-0.214,-0.257,-0.163,-0.299,-0.123,-0.272,-0.26,-0.323,-0.119,-0.188,-0.238,-0.163,-0.204,-0.204,-0.262,-0.29,-0.04,-0.1
-0.302,-0.042,-0.202,-0.313,-0.166,-0.325,-0.184,-0.29,-0.184,-0.374,-0.1,-0.042,-0.249,-0.202,-0.219,-0.073,-0.277,-0.29,0.0,-0.1
-0.351,-0.058,-0.193,-0.219,-0.058,-0.242,-0.302,-0.242,-0.1,-0.391,-0.193,-0.135,-0.193,-0.242,-0.166,-0.263,-0.302,-0.193,-0.058,-0.1
-0.317,-0.138,-0.224,-0.17,-0.198,-0.334,-0.034,-0.184,-0.082,-0.308,-0.121,-0.247,-0.224,-0.269,-0.17,-0.289,-0.269,-0.184,-0.138,-0.211
-0.304,-0.037,-0.312,-0.275,-0.185,-0.17,-0.125,-0.204,-0.222,-0.248,-0.105,-0.288,-0.235,-0.174,-0.229,-0.307,-0.277,-0.222,-0.021,-0.153
-0.273,-0.119,-0.173,-0.147,-0.147,-0.32,-0.088,-0.119,-0.256,-0.273,-0.147,-0.088,-0.173,-0.217,-0.147,-0.382,-0.305,-0.237,-0.173,-0.29
-0.158,-0.08,-0.284,-0.388,-0.236,-0.284,0.0,-0.324,-0.269,-0.219,-0.08,-0.284,-0.18,-0.18,-0.109,-0.269,-0.219,-0.219,-0.046,-0.158
-0.412,0.0,-0.197,-0.295,-0.159,-0.361,-0.126,-0.06,-0.159,-0.384,-0.102,-0.075,-0.282,-0.089,-0.307,-0.148,-0.138,-0.295,-0.114,-0.102
-0.334,-0.096,-0.275,-0.187,-0.16,-0.284,-0.174,-0.187,-0.174,-0.318,-0.096,-0.245,-0.211,-0.174,-0.211,-0.245,-0.302,-0.234,-0.056,-0.174
-0.395,-0.022,-0.258,-0.264,-0.17,-0.319,-0.053,-0.162,-0.153,-0.356,-0.067,-0.053,-0.238,-0.067,-0.245,-0.251,-0.309,-0.329,-0.038,-0.079
-0.293,-0.13,-0.191,-0.256,-0.183,-0.286,-0.116,-0.157,-0.154,-0.344,-0.087,-0.126,-0.311,-0.241,-0.278,-0.262,-0.225,-0.245,-0.102,-0.133
-0.214,-0.057,-0.189,-0.162,-0.214,-0.322,-0.098,-0.147,-0.214,-0.278,-0.176,-0.305,-0.176,-0.162,-0.162,-0.297,-0.314,-0.237,-0.162,-0.258
-0.351,-0.121,-0.212,-0.318,-0.185,-0.28,-0.103,-0.185,-0.139,-0.335,-0.103,-0.121,-0.212,-0.198,-0.309,-0.198,-0.155,-0.3,-0.155,-0.103
-0.161,-0.144,-0.177,-0.206,-0.086,-0.309,-0.177,-0.353,-0.257,-0.245,-0.177,-0.353,-0.126,-0.107,-0.126,-0.268,-0.279,-0.279,-0.063,-0.177
-0.26,-0.119,-0.211,-0.268,-0.18,-0.234,-0.139,-0.22,-0.26,-0.363,-0.098,-0.174,-0.251,-0.119,-0.283,-0.272,-0.206,-0.247,-0.048,-0.18
-0.377,-0.03,-0.211,-0.242,-0.151,-0.333,-0.09,-0.27,-0.177,-0.333,-0.177,-0.151,-0.189,-0.177,-0.2,-0.252,-0.232,-0.252,-0.09,-0.122
-0.267,-0.095,-0.171,-0.21,-0.205,-0.321,-0.165,-0.133,-0.087,-0.354,-0.061,-0.152,-0.287,-0.235,-0.22,-0.338,-0.23,-0.275,-0.103,-0.159
-0.344,-0.121,-0.216,-0.25,-0.178,-0.25,-0.133,-0.28,-0.167,-0.25,-0.108,-0.273,-0.145,-0.216,-0.234,-0.266,-0.167,-0.234,-0.079,-0.258
-0.22,-0.119,-0.195,-0.242,-0.251,-0.247,-0.157,-0.234,-0.234,-0.321,-0.132,-0.21,-0.259,-0.22,-0.2,-0.238,-0.234,-0.238,-0.066,-0.2
-0.266,-0.125,-0.247,-0.271,-0.221,-0.242,-0.125,-0.221,-0.237,-0.332,-0.14,-0.232,-0.227,-0.14,-0.221,-0.257,-0.227,-0.232,-0.054,-0.168
-0.319,-0.04,-0.261,-0.247,-0.17,-0.329,-0.164,-0.297,-0.269,-0.229,-0.158,-0.214,-0.181,-0.145,-0.151,-0.219,-0.286,-0.238,-0.05,-0.145
-0.289,-0.067,-0.28,-0.298,-0.194,-0.229,-0.114,-0.229,-0.261,-0.315,-0.138,-0.206,-0.153,-0.167,-0.212,-0.187,-0.256,-0.261,-0.087,-0.218
-0.275,-0.032,-0.256,-0.2,-0.235,-0.245,-0.056,-0.235,-0.174,-0.266,-0.056,-0.245,-0.212,-0.187,-0.16,-0.356,-0.302,-0.285,-0.13,-0.174
-0.26,-0.089,-0.222,-0.246,-0.197,-0.324,-0.126,-0.222,-0.26,-0.281,-0.169,-0.178,-0.197,-0.158,-0.148,-0.23,-0.23,-0.329,-0.043,-0.238
-0.267,-0.172,-0.357,-0.2,-0.179,-0.361,-0.104,-0.179,-0.148,-0.226,-0.131,-0.214,-0.156,-0.156,-0.113,-0.292,-0.307,-0.226,-0.113,-0.207
-0.317,0.0,-0.19,-0.33,-0.095,-0.364,-0.095,-0.284,-0.291,-0.253,-0.158,-0.135,-0.19,-0.2,-0.228,-0.122,-0.19,-0.317,-0.095,-0.147
-0.27,-0.1,-0.211,-0.237,-0.207,-0.266,-0.127,-0.243,-0.17,-0.377,-0.17,-0.166,-0.211,-0.215,-0.254,-0.211,-0.207,-0.25,-0.116,-0.174
-0.378,0.0,-0.245,-0.187,-0.148,-0.294,-0.074,-0.274,-0.281,-0.323,-0.168,-0.187,-0.238,-0.178,-0.074,-0.238,-0.214,-0.306,-0.088,-0.101
-0.27,-0.012,-0.175,-0.203,-0.264,-0.307,-0.108,-0.288,-0.214,-0.354,-0.153,-0.162,-0.17,-0.175,-0.17,-0.203,-0.206,-0.299,-0.175,-0.214
-0.305,-0.03,-0.254,-0.234,-0.178,-0.289,-0.073,-0.263,-0.321,-0.289,-0.108,-0.152,-0.289,-0.108,-0.138,-0.289,-0.213,-0.263,-0.073,-0.19
-0.26,-0.054,-0.22,-0.301,-0.234,-0.322,-0.181,-0.241,-0.234,-0.296,-0.115,-0.189,-0.205,-0.115,-0.172,-0.267,-0.234,-0.26,-0.054,-0.181
-0.263,-0.082,-0.252,-0.289,-0.229,-0.279,-0.129,-0.204,-0.162,-0.269,-0.162,-0.241,-0.184,-0.217,-0.191,-0.294,-0.235,-0.274,-0.071,-0.154
-0.258,-0.125,-0.279,-0.285,-0.212,-0.228,-0.136,-0.292,-0.279,-0.304,-0.167,-0.186,-0.088,-0.176,-0.212,-0.251,-0.236,-0.228,-0.043,-0.176
-0.251,-0.145,-0.203,-0.245,-0.175,-0.267,-0.161,-0.196,-0.234,-0.339,-0.175,-0.182,-0.282,-0.153,-0.228,-0.327,-0.222,-0.222,-0.034,-0.111
-0.253,-0.056,-0.194,-0.278,-0.16,-0.322,-0.126,-0.218,-0.258,-0.329,-0.121,-0.168,-0.234,-0.194,-0.218,-0.228,-0.225,-0.272,-0.106,-0.194
-0.235,-0.198,-0.251,-0.178,-0.079,-0.356,-0.108,-0.157,-0.366,-0.198,-0.079,-0.157,-0.134,-0.046,-0.046,-0.281,-0.427,-0.267,-0.108,-0.217
-0.22,-0.139,-0.194,-0.267,-0.165,-0.279,-0.132,-0.267,-0.249,-0.299,-0.139,-0.31,-0.171,-0.159,-0.177,-0.287,-0.21,-0.235,-0.103,-0.194
-0.172,-0.023,-0.272,-0.23,-0.207,-0.291,-0.238,-0.297,-0.259,-0.259,-0.181,-0.172,-0.252,-0.11,-0.153,-0.181,-0.285,-0.279,-0.121,-0.172
-0.1,0.0,-0.194,-0.194,-0.1,-0.352,-0.1,-0.243,-0.321,-0.321,-0.194,-0.194,-0.194,-0.1,-0.352,-0.22,-0.321,-0.303,0.0,-0.1
-0.354,-0.161,-0.238,-0.228,-0.173,-0.341,-0.148,-0.173,-0.105,-0.306,-0.088,-0.134,-0.256,-0.148,-0.282,-0.207,-0.228,-0.274,-0.148,-0.12
-0.331,-0.042,-0.258,-0.263,-0.207,-0.258,-0.073,-0.218,-0.196,-0.367,-0.145,-0.19,-0.207,-0.171,-0.253,-0.258,-0.171,-0.234,-0.042,-0.201
-0.263,-0.081,-0.298,-0.263,-0.263,-0.229,-0.105,-0.298,-0.309,-0.275,-0.127,-0.174,-0.182,-0.147,-0.236,-0.256,-0.156,-0.236,-0.039,-0.191
-0.224,-0.112,-0.303,-0.205,-0.162,-0.436,-0.241,-0.289,-0.258,-0.241,-0.082,-0.241,-0.205,-0.138,-0.112,-0.241,-0.184,-0.224,0.0,-0.082
-0.375,-0.108,-0.216,-0.25,-0.133,-0.355,-0.079,-0.234,-0.079,-0.234,-0.216,-0.133,-0.308,-0.133,-0.25,-0.156,-0.266,-0.308,-0.046,-0.133
-0.223,-0.125,-0.268,-0.263,-0.197,-0.305,-0.111,-0.246,-0.268,-0.328,-0.18,-0.169,-0.133,-0.15,-0.243,-0.238,-0.252,-0.281,-0.034,-0.12
-0.269,-0.152,-0.244,-0.244,-0.186,-0.277,-0.164,-0.226,-0.261,-0.292,-0.152,-0.186,-0.197,-0.14,-0.197,-0.261,-0.217,-0.339,-0.083,-0.083
-0.323,-0.049,-0.229,-0.229,-0.229,-0.309,-0.229,-0.049,-0.28,-0.382,-0.084,-0.247,-0.141,-0.166,-0.166,-0.188,-0.084,-0.382,-0.084,-0.084
-0.304,0.0,-0.259,-0.287,-0.142,-0.295,-0.093,-0.278,-0.259,-0.334,-0.111,-0.195,-0.218,-0.093,-0.142,-0.111,-0.319,-0.295,-0.055,-0.206
-0.221,0.0,-0.314,-0.255,-0.136,-0.255,-0.152,-0.182,-0.196,-0.442,-0.152,-0.182,-0.182,-0.209,-0.286,-0.221,-0.221,-0.233,-0.059,-0.081
-0.368,-0.03,-0.213,-0.254,-0.091,-0.313,-0.178,-0.19,-0.123,-0.328,-0.073,-0.165,-0.234,-0.108,-0.19,-0.297,-0.234,-0.355,-0.073,-0.165
-0.152,-0.028,-0.277,-0.226,-0.175,-0.277,-0.067,-0.285,-0.244,-0.339,-0.152,-0.235,-0.269,-0.207,-0.226,-0.253,-0.207,-0.226,-0.067,-0.207
-0.287,0.0,-0.25,-0.299,-0.094,-0.275,-0.069,-0.191,-0.275,-0.287,-0.236,-0.207,-0.174,-0.137,-0.236,-0.222,-0.275,-0.358,-0.04,-0.094
-0.266,-0.067,-0.295,-0.282,-0.166,-0.237,-0.128,-0.215,-0.184,-0.302,-0.09,-0.212,-0.263,-0.173,-0.222,-0.243,-0.277,-0.297,-0.061,-0.15
-0.414,-0.069,-0.241,-0.232,-0.212,-0.391,-0.069,-0.18,-0.291,-0.259,-0.102,-0.144,-0.13,-0.116,-0.168,-0.212,-0.212,-0.32,-0.028,-0.13
-0.315,-0.062,-0.212,-0.203,-0.159,-0.265,-0.099,-0.184,-0.217,-0.344,-0.105,-0.217,-0.296,-0.242,-0.225,-0.303,-0.265,-0.199,-0.077,-0.105
-0.168,0.0,-0.143,-0.266,-0.168,-0.266,-0.168,-0.211,-0.351,-0.326,-0.231,-0.085,-0.231,-0.211,-0.339,-0.231,-0.19,-0.249,0.0,-0.19
-0.217,0.0,-0.271,-0.171,-0.181,-0.359,-0.06,-0.139,-0.298,-0.271,-0.139,-0.264,-0.116,-0.19,-0.116,-0.181,-0.249,-0.249,-0.225,-0.344
-0.144,0.0,-0.278,-0.336,-0.256,-0.205,-0.107,-0.256,-0.299,-0.256,-0.144,-0.278,-0.063,-0.278,-0.176,-0.256,-0.256,-0.205,-0.107,-0.176
-0.318,-0.096,-0.245,-0.31,-0.16,-0.245,-0.096,-0.302,-0.16,-0.293,-0.114,-0.032,-0.211,-0.199,-0.31,-0.275,-0.187,-0.284,-0.096,-0.13
-0.354,-0.177,-0.201,-0.201,-0.151,-0.366,-0.053,-0.151,-0.123,-0.312,-0.177,-0.262,-0.222,-0.201,-0.201,-0.201,-0.177,-0.296,-0.053,-0.201
-0.324,-0.03,-0.269,-0.278,-0.188,-0.294,-0.052,-0.302,-0.302,-0.31,-0.122,-0.241,-0.106,-0.176,-0.163,-0.188,-0.278,-0.221,-0.052,-0.136
-0.307,-0.062,-0.204,-0.287,-0.204,-0.243,-0.19,-0.23,-0.204,-0.38,-0.085,-0.175,-0.143,-0.204,-0.217,-0.175,-0.266,-0.297,-0.085,-0.143
-0.235,-0.08,-0.235,-0.329,-0.189,-0.146,-0.08,-0.244,-0.377,-0.29,-0.158,-0.218,-0.235,-0.169,-0.275,-0.169,-0.199,-0.252,-0.08,-0.134
