SEP_PC,SEP_NC,SEP_NE,SEP_PO,SEP_NP,SEP_AL,SEP_CY,SEP_AR,SEP_AC,SEP_BS,SEP_NE_pH,SEP_HB,SEP_HL,SEP_NT,SEP_HX,SEP_SC,SEP_SS_HE,SEP_SS_ST,SEP_SS_CO,SEP_SA_BU,SEP_SA_EX,SEP_SA_IN,SEP_TN,SEP_SM,SEP_LR
0.556,0.639,0.871,0.782,0.97,0.922,0.315,0.375,0.639,0.556,0.871,0.99,0.834,0.967,0.636,0.158,0.973,0.81,0.931,0.913,0.962,0.867,0.747,0.988,0.988
0.494,0.346,0.664,0.948,0.992,0.936,0.224,0.594,0.346,0.494,0.664,0.995,0.63,0.983,0.752,0.288,0.942,0.916,0.892,0.973,0.778,0.954,0.901,0.994,0.994
0.434,0.742,0.881,0.73,0.982,0.929,0.234,0.455,0.742,0.434,0.881,0.975,0.73,0.992,0.532,0.171,0.94,0.888,0.922,0.96,0.987,0.73,0.704,0.999,0.999
0.591,0.544,0.838,0.427,0.948,0.988,0.386,0.365,0.544,0.591,0.838,0.995,0.777,0.894,0.308,0.127,0.996,0.693,0.85,0.995,0.825,0.699,0.877,0.996,0.996
0.532,0.509,0.785,0.785,0.998,0.979,0.28,0.39,0.509,0.532,0.785,1.0,0.778,0.951,0.598,0.206,0.975,0.847,0.903,0.983,0.874,0.859,0.818,0.983,0.983
0.463,0.567,0.781,0.672,0.979,0.997,0.319,0.299,0.567,0.463,0.781,0.981,0.643,0.963,0.613,0.098,0.989,0.848,0.865,0.999,0.794,0.794,0.878,0.962,0.962
0.545,0.489,0.781,0.776,0.999,0.991,0.433,0.407,0.489,0.545,0.781,0.999,0.791,0.945,0.531,0.234,0.993,0.813,0.879,0.989,0.891,0.84,0.81,0.999,0.999
0.465,0.381,0.664,0.855,0.996,0.926,0.229,0.605,0.381,0.465,0.664,0.996,0.764,0.954,0.664,0.266,0.91,0.918,0.926,0.968,0.855,0.914,0.786,0.994,0.994
0.563,0.587,0.846,0.631,0.994,0.995,0.28,0.43,0.587,0.563,0.846,0.998,0.727,0.92,0.384,0.241,1.0,0.833,0.792,1.0,0.858,0.672,0.813,0.999,0.999
0.545,0.415,0.74,0.774,0.993,0.965,0.159,0.329,0.415,0.545,0.74,0.996,0.827,0.92,0.595,0.347,0.905,0.933,0.915,0.981,0.884,0.854,0.758,0.995,0.995
0.656,0.523,0.865,0.72,0.999,0.98,0.339,0.412,0.523,0.656,0.865,1.0,0.84,0.897,0.523,0.234,0.996,0.832,0.849,0.981,0.887,0.83,0.752,0.998,0.998
0.458,0.493,0.731,0.685,0.98,1.0,0.246,0.354,0.493,0.458,0.731,0.995,0.651,0.946,0.526,0.246,0.995,0.827,0.859,1.0,0.816,0.785,0.873,0.997,0.997
0.467,0.414,0.686,0.831,0.998,0.993,0.396,0.456,0.414,0.467,0.686,1.0,0.737,0.966,0.63,0.168,0.968,0.834,0.926,0.994,0.831,0.894,0.859,0.992,0.992
0.517,0.507,0.775,0.796,0.995,0.965,0.185,0.517,0.507,0.517,0.775,0.994,0.752,0.913,0.479,0.245,0.979,0.885,0.857,0.988,0.877,0.796,0.826,1.0,1.0
0.564,0.477,0.787,0.781,0.999,0.963,0.352,0.522,0.477,0.564,0.787,1.0,0.806,0.914,0.513,0.271,0.979,0.893,0.851,0.979,0.909,0.857,0.706,0.996,0.996
0.564,0.564,0.834,0.729,0.998,0.965,0.302,0.45,0.564,0.564,0.834,1.0,0.798,0.923,0.526,0.286,0.984,0.853,0.876,0.981,0.911,0.822,0.754,1.0,1.0
0.567,0.553,0.83,0.701,1.0,0.984,0.236,0.367,0.553,0.567,0.83,0.999,0.763,0.96,0.553,0.228,0.972,0.873,0.886,0.987,0.898,0.827,0.808,0.996,0.996
0.573,0.629,0.873,0.723,0.995,0.956,0.196,0.492,0.629,0.573,0.873,0.999,0.746,0.936,0.485,0.226,0.993,0.886,0.806,0.978,0.921,0.783,0.689,0.997,0.997
0.391,0.498,0.694,0.855,0.998,0.961,0.28,0.522,0.498,0.391,0.694,1.0,0.694,0.976,0.719,0.095,0.895,0.925,0.932,0.982,0.876,0.881,0.813,0.978,0.978
0.526,0.509,0.781,0.75,0.999,0.987,0.258,0.492,0.509,0.526,0.781,1.0,0.722,0.935,0.5,0.283,0.964,0.912,0.861,0.993,0.872,0.841,0.781,0.999,0.999
0.354,0.631,0.77,0.857,0.991,0.944,0.201,0.484,0.631,0.354,0.77,0.993,0.603,0.998,0.652,0.329,0.869,0.904,0.965,0.983,0.88,0.866,0.883,0.946,0.946
0.609,0.585,0.868,0.576,0.993,0.999,0.249,0.329,0.585,0.609,0.868,0.998,0.754,0.948,0.342,0.204,0.999,0.842,0.809,0.998,0.916,0.683,0.782,0.998,0.998
0.537,0.487,0.775,0.718,0.995,0.988,0.279,0.482,0.487,0.537,0.775,0.997,0.731,0.904,0.454,0.295,0.996,0.87,0.808,0.998,0.845,0.793,0.731,0.991,0.991
0.463,0.473,0.721,0.639,0.972,0.999,0.319,0.33,0.473,0.463,0.721,0.987,0.715,0.911,0.491,0.217,0.987,0.84,0.878,1.0,0.896,0.775,0.836,0.989,0.989
0.48,0.409,0.692,0.679,0.97,0.997,0.221,0.62,0.409,0.48,0.692,0.988,0.662,0.879,0.444,0.202,0.97,0.946,0.791,0.996,0.789,0.771,0.731,0.989,0.989
0.562,0.53,0.814,0.705,0.998,0.995,0.398,0.437,0.53,0.562,0.814,1.0,0.796,0.93,0.551,0.156,0.965,0.853,0.916,0.987,0.927,0.853,0.808,0.996,0.996
0.56,0.573,0.837,0.706,1.0,0.979,0.27,0.477,0.573,0.56,0.837,0.997,0.756,0.956,0.545,0.185,0.974,0.872,0.884,0.99,0.881,0.84,0.792,1.0,1.0
0.464,0.59,0.796,0.781,0.997,0.951,0.239,0.457,0.59,0.464,0.796,0.996,0.716,0.974,0.579,0.269,0.97,0.861,0.901,0.976,0.909,0.834,0.789,0.998,0.998
0.606,0.613,0.881,0.755,0.991,0.938,0.108,0.441,0.613,0.606,0.881,0.997,0.728,0.945,0.529,0.316,0.992,0.888,0.804,0.98,0.901,0.78,0.733,0.991,0.991
0.592,0.488,0.81,0.773,0.999,0.975,0.387,0.33,0.488,0.592,0.81,1.0,0.823,0.938,0.608,0.347,0.989,0.788,0.912,0.971,0.89,0.898,0.823,0.999,0.999
0.584,0.52,0.821,0.724,1.0,0.988,0.314,0.448,0.52,0.584,0.821,0.998,0.78,0.944,0.492,0.195,0.99,0.852,0.859,0.989,0.9,0.814,0.761,0.999,0.999
0.596,0.471,0.804,0.924,0.961,0.924,0.169,0.408,0.471,0.596,0.804,0.999,0.724,0.995,0.793,0.314,0.884,0.965,0.891,0.965,0.86,0.93,0.868,0.941,0.941
0.541,0.505,0.788,0.773,0.992,0.951,0.221,0.45,0.505,0.541,0.788,0.992,0.808,0.929,0.546,0.3,0.963,0.874,0.903,0.978,0.915,0.82,0.779,1.0,1.0
0.62,0.548,0.857,0.666,1.0,0.972,0.341,0.484,0.548,0.62,0.857,1.0,0.817,0.926,0.517,0.248,0.95,0.926,0.868,0.977,0.895,0.895,0.627,0.999,0.999
0.764,0.421,0.89,0.679,0.997,0.977,0.255,0.215,0.421,0.764,0.89,0.994,0.89,0.942,0.598,0.255,0.988,0.846,0.869,0.961,0.858,0.834,0.679,1.0,1.0
0.537,0.506,0.786,0.689,0.991,0.998,0.347,0.425,0.506,0.537,0.786,0.996,0.747,0.931,0.472,0.273,0.981,0.858,0.881,1.0,0.81,0.78,0.876,0.986,0.986
0.524,0.566,0.814,0.696,0.999,0.989,0.273,0.461,0.566,0.524,0.814,1.0,0.735,0.921,0.473,0.213,0.997,0.805,0.862,0.993,0.882,0.783,0.789,0.999,0.999
0.643,0.611,0.898,0.678,0.997,0.954,0.238,0.513,0.611,0.643,0.898,0.995,0.793,0.915,0.457,0.225,0.983,0.88,0.853,0.982,0.928,0.757,0.722,0.992,0.992
0.597,0.562,0.85,0.629,1.0,0.995,0.269,0.269,0.562,0.597,0.85,0.968,0.811,0.985,0.465,0.209,0.927,0.79,0.982,0.997,0.914,0.778,0.884,0.979,0.979
0.428,0.507,0.722,0.655,0.967,0.998,0.428,0.312,0.507,0.428,0.722,0.981,0.722,0.934,0.469,0.361,0.974,0.865,0.889,1.0,0.83,0.849,0.865,0.967,0.967
0.608,0.577,0.864,0.712,0.999,0.97,0.169,0.365,0.577,0.608,0.864,0.999,0.74,0.953,0.532,0.331,0.988,0.871,0.846,0.991,0.877,0.77,0.758,1.0,1.0
0.594,0.531,0.833,0.696,1.0,0.984,0.258,0.354,0.531,0.594,0.833,0.999,0.773,0.923,0.521,0.328,0.977,0.887,0.861,0.996,0.878,0.791,0.796,0.996,0.996
0.642,0.496,0.844,0.496,0.99,0.998,0.18,0.408,0.496,0.642,0.844,1.0,0.814,0.863,0.305,0.144,1.0,0.792,0.844,0.998,0.889,0.642,0.78,0.999,0.999
0.497,0.595,0.816,0.669,0.998,0.998,0.289,0.408,0.595,0.497,0.816,0.995,0.727,0.938,0.508,0.138,0.976,0.916,0.828,0.995,0.903,0.803,0.695,0.999,0.999
0.612,0.623,0.889,0.643,1.0,0.984,0.237,0.275,0.623,0.612,0.889,0.999,0.775,0.951,0.48,0.195,0.999,0.71,0.861,0.983,0.908,0.752,0.653,0.991,0.991
0.474,0.508,0.75,0.713,0.991,0.999,0.313,0.328,0.508,0.474,0.75,0.998,0.705,0.943,0.582,0.113,0.978,0.848,0.896,1.0,0.802,0.853,0.878,0.968,0.968
0.54,0.549,0.813,0.736,0.999,0.975,0.367,0.449,0.549,0.54,0.813,0.996,0.813,0.941,0.501,0.211,0.963,0.847,0.923,0.963,0.944,0.838,0.659,0.998,0.998
0.586,0.599,0.864,0.65,1.0,0.982,0.226,0.226,0.599,0.586,0.864,1.0,0.767,0.951,0.544,0.317,0.996,0.835,0.843,0.974,0.913,0.803,0.728,0.996,0.996
0.516,0.628,0.845,0.74,0.997,0.977,0.358,0.375,0.628,0.516,0.845,1.0,0.781,0.961,0.567,0.168,0.969,0.867,0.9,0.969,0.934,0.84,0.716,0.993,0.993
0.544,0.514,0.794,0.617,0.982,1.0,0.165,0.389,0.514,0.544,0.794,1.0,0.674,0.949,0.46,0.183,0.989,0.838,0.875,0.993,0.838,0.666,0.932,0.971,0.971
0.53,0.451,0.75,0.796,1.0,0.987,0.41,0.337,0.451,0.53,0.75,1.0,0.815,0.955,0.619,0.181,0.99,0.767,0.92,0.973,0.921,0.868,0.818,0.993,0.993
0.809,0.458,0.929,0.693,0.994,0.947,0.308,0.387,0.458,0.809,0.929,0.985,0.901,0.894,0.458,0.308,0.992,0.774,0.761,0.929,0.909,0.859,0.631,0.942,0.942
0.507,0.489,0.758,0.809,0.996,0.931,0.145,0.718,0.489,0.507,0.758,0.977,0.724,0.946,0.471,0.177,0.922,0.933,0.897,0.98,0.904,0.832,0.73,1.0,1.0
0.581,0.671,0.899,0.796,0.951,0.826,0.076,0.53,0.671,0.581,0.899,0.964,0.764,0.984,0.556,0.183,0.988,0.877,0.839,0.918,0.98,0.764,0.581,0.975,0.975
0.577,0.608,0.864,0.717,1.0,0.991,0.28,0.375,0.608,0.577,0.864,1.0,0.7,0.948,0.509,0.225,0.996,0.869,0.805,0.995,0.853,0.763,0.798,0.998,0.998
0.383,0.435,0.644,0.739,0.99,0.999,0.296,0.409,0.435,0.383,0.644,0.999,0.71,0.921,0.409,0.383,0.973,0.84,0.913,1.0,0.85,0.767,0.897,0.973,0.973
0.545,0.594,0.841,0.682,1.0,0.982,0.133,0.38,0.594,0.545,0.841,1.0,0.728,0.955,0.513,0.173,0.991,0.866,0.841,0.994,0.928,0.698,0.763,1.0,1.0
