ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
27.02,13.03,52.81,7.0,0.15
26.39,13.01,53.02,7.52,0.06
26.55,13.13,52.76,7.33,0.22
26.89,12.71,52.86,7.3,0.24
25.97,13.27,53.25,7.1,0.41
26.2,13.41,52.74,7.37,0.29
25.75,12.99,52.7,7.83,0.73
26.63,12.91,52.81,7.45,0.2
26.23,13.52,52.44,7.55,0.25
26.87,13.04,52.49,7.3,0.29
26.35,13.37,52.41,7.66,0.21
26.05,13.68,52.28,7.71,0.28
25.91,13.53,52.95,7.45,0.17
26.28,13.26,52.85,7.36,0.26
26.29,12.71,53.88,6.9,0.22
26.78,12.95,52.78,7.33,0.17
26.91,13.21,52.63,6.95,0.3
26.64,13.33,52.42,7.38,0.23
26.53,13.04,53.46,6.82,0.15
26.48,13.46,52.53,7.15,0.38
26.07,13.04,53.07,7.63,0.19
26.99,13.05,52.59,7.02,0.35
26.7,13.0,52.89,7.07,0.33
26.63,13.84,52.55,6.87,0.1
26.68,13.14,52.66,7.39,0.13
26.7,13.36,52.39,7.3,0.25
27.27,12.89,53.13,6.55,0.16
27.05,12.81,52.94,7.04,0.16
26.56,14.92,51.52,6.94,0.06
26.61,13.01,52.98,7.15,0.24
27.81,11.98,53.31,6.64,0.26
26.3,13.72,52.48,7.36,0.15
27.51,12.65,52.65,6.91,0.28
25.78,12.66,53.87,7.64,0.05
25.76,14.19,52.88,7.15,0.02
26.71,13.41,52.8,6.8,0.29
27.06,12.65,52.63,7.49,0.17
25.98,13.46,52.73,7.32,0.51
26.48,13.13,51.65,8.32,0.42
26.24,12.95,53.51,7.25,0.05
26.68,13.44,52.63,7.07,0.18
26.22,13.48,52.95,7.14,0.21
26.99,13.26,52.44,7.16,0.15
25.45,13.16,53.47,7.85,0.08
26.42,13.47,52.64,7.25,0.23
27.2,12.85,52.49,7.2,0.26
27.06,13.11,52.67,7.01,0.15
26.55,13.35,52.33,7.58,0.19
26.15,13.65,53.02,6.82,0.36
26.48,13.75,52.48,7.15,0.15
26.28,12.7,53.04,7.77,0.21
27.36,13.12,52.59,6.86,0.07
26.68,12.55,53.91,6.79,0.05
26.45,13.65,52.71,7.01,0.18
26.19,13.21,52.73,7.56,0.3
26.54,13.28,52.58,7.3,0.3
26.69,13.01,52.43,7.61,0.27
26.63,13.26,52.62,7.3,0.19
26.88,12.98,52.64,7.23,0.28
26.7,13.0,52.4,7.61,0.29
27.3,12.45,53.55,6.55,0.16
26.18,13.57,52.5,7.47,0.28
26.64,13.07,52.99,7.04,0.27
26.77,13.11,52.61,7.2,0.31
25.84,13.94,52.65,7.35,0.21
27.04,12.94,53.13,6.74,0.15
26.25,13.31,52.78,7.49,0.16
26.77,13.77,52.0,7.27,0.21
26.98,12.19,54.16,6.39,0.27
26.13,13.33,53.01,7.18,0.34
26.72,13.74,52.36,7.05,0.14
26.3,13.33,52.78,7.42,0.16
26.8,13.69,52.42,6.91,0.18
26.47,13.56,52.75,6.92,0.29
26.0,13.52,53.05,7.15,0.29
26.46,13.34,52.89,7.14,0.17
25.89,12.12,53.23,8.56,0.2
26.8,13.36,52.9,6.87,0.08
26.81,12.89,52.86,7.25,0.19
26.1,13.14,52.79,7.65,0.33
26.61,13.31,52.64,7.15,0.28
27.42,13.27,51.72,7.45,0.14
27.01,13.47,52.22,7.02,0.28
26.49,13.83,52.46,7.08,0.15
25.93,14.9,52.49,6.47,0.21
27.01,13.23,52.49,6.93,0.34
26.13,12.88,53.83,7.03,0.12
26.82,12.8,52.88,7.31,0.18
25.71,14.82,52.65,6.75,0.07
26.18,13.56,53.09,6.99,0.17
26.69,12.57,53.11,7.46,0.17
26.86,13.58,52.27,7.17,0.11
27.43,13.25,52.09,6.98,0.26
27.15,13.4,52.38,6.9,0.18
26.88,13.25,52.64,7.15,0.08
27.46,13.21,52.05,7.1,0.18
25.5,14.13,52.82,7.37,0.19
26.79,12.71,52.82,7.43,0.25
26.76,13.12,52.5,7.44,0.19
27.24,13.09,52.01,7.38,0.29
26.95,12.48,53.05,7.31,0.21
26.84,13.33,52.42,7.22,0.19
26.69,13.2,52.52,7.27,0.32
26.1,13.63,53.06,6.99,0.23
26.64,13.51,52.06,7.56,0.24
26.55,13.42,52.29,7.46,0.28
26.4,13.37,52.28,7.81,0.14
26.41,13.49,53.22,6.57,0.32
26.31,13.23,52.92,7.28,0.25
26.86,12.88,52.33,7.61,0.32
26.05,13.53,53.17,7.03,0.22
27.38,12.54,53.09,6.74,0.25
26.54,13.44,52.64,7.06,0.31
25.94,10.96,53.65,9.18,0.28
25.57,13.34,53.61,7.29,0.18
27.24,12.72,52.76,7.07,0.22
26.69,13.14,52.92,7.02,0.23
26.93,13.46,52.72,6.82,0.07
26.43,13.15,52.59,7.54,0.3
26.06,12.83,52.86,8.06,0.2
25.68,12.58,53.14,8.48,0.12
26.87,12.78,52.98,6.95,0.42
26.79,13.59,52.1,7.38,0.13
26.18,15.07,51.95,6.46,0.34
26.04,13.68,52.98,7.14,0.16
25.86,14.22,52.53,7.19,0.2
26.16,12.75,52.93,7.98,0.17
27.39,13.3,52.61,6.66,0.05
26.79,13.24,52.47,7.23,0.27
27.29,11.91,53.87,6.82,0.1
27.08,13.07,51.97,7.62,0.26
26.34,13.23,52.34,8.06,0.03
27.57,13.44,51.74,7.03,0.22
27.47,12.82,52.74,6.85,0.11
25.41,13.56,53.24,7.6,0.18
27.02,13.2,52.7,6.97,0.11
26.49,13.5,52.25,7.6,0.16
27.14,13.31,52.37,6.97,0.21
26.13,13.46,52.91,7.42,0.07
25.85,13.88,52.31,7.8,0.15
26.79,13.47,52.2,7.47,0.06
27.08,12.64,52.77,7.13,0.39
25.48,13.54,52.48,8.23,0.27
26.42,13.57,52.7,7.22,0.08
26.63,13.5,52.06,7.42,0.38
26.22,13.29,52.96,7.34,0.18
25.5,13.75,53.39,7.25,0.11
25.99,13.55,52.89,7.42,0.15
26.68,12.69,53.31,7.17,0.15
26.75,13.73,52.07,7.22,0.23
25.65,13.22,53.75,7.17,0.22
25.62,14.03,52.36,7.79,0.2
26.86,12.84,52.73,7.41,0.16
25.81,13.53,52.51,7.86,0.29
26.87,12.43,53.02,7.54,0.14
26.73,13.11,52.97,7.12,0.07
26.32,13.53,52.87,7.04,0.24
25.97,13.51,53.18,7.14,0.2
27.0,13.17,52.13,7.47,0.23
25.19,13.03,53.51,8.22,0.05
26.1,13.46,52.78,7.36,0.3
24.63,12.98,53.77,8.24,0.39
26.55,13.27,52.62,7.41,0.15
26.1,13.45,52.65,7.62,0.18
26.23,14.01,52.82,6.88,0.05
26.79,12.83,52.63,7.57,0.18
26.08,13.7,52.6,7.51,0.12
27.05,13.17,52.67,6.92,0.19
26.51,12.74,53.02,7.58,0.16
26.49,13.61,52.63,7.22,0.05
26.3,13.23,52.88,7.32,0.26
24.98,17.15,50.79,7.04,0.04
26.41,13.29,52.64,7.34,0.32
26.35,13.18,52.81,7.42,0.24
26.18,13.56,52.67,7.3,0.28
26.4,12.79,53.12,7.53,0.15
26.17,13.13,52.84,7.64,0.22
26.49,12.99,52.97,7.26,0.29
25.89,13.17,53.1,7.58,0.25
26.43,14.06,52.38,7.02,0.12
26.15,13.46,52.51,7.45,0.43
26.68,13.02,52.76,7.32,0.21
26.5,14.24,52.33,6.83,0.1
27.58,12.91,52.39,6.97,0.15
26.2,13.25,53.44,6.81,0.3
28.0,12.94,51.62,7.1,0.33
26.89,13.12,52.63,7.12,0.23
26.54,13.2,52.67,7.36,0.23
26.21,12.94,53.58,7.15,0.12
26.97,13.62,52.21,7.03,0.17
27.05,14.02,51.73,7.04,0.16
26.96,12.93,52.63,7.41,0.07
26.52,12.91,53.09,7.2,0.29
26.66,14.04,52.16,7.03,0.11
26.51,12.94,53.16,7.21,0.18
26.66,13.12,53.49,6.67,0.06
26.04,13.43,53.07,7.32,0.14
26.02,13.81,52.18,7.74,0.25
26.66,12.68,53.68,6.73,0.24
26.58,13.32,52.38,7.47,0.25
26.36,13.94,52.59,6.94,0.17
26.42,13.27,52.94,7.2,0.17
26.68,13.35,52.56,7.04,0.37
26.18,13.74,52.36,7.33,0.39
25.62,13.96,52.88,7.37,0.17
27.22,12.62,52.65,7.34,0.18
25.98,13.09,53.3,7.37,0.26
26.51,13.29,52.9,7.07,0.22
25.99,13.98,52.53,7.2,0.31
26.08,13.19,52.91,7.64,0.17
25.67,13.79,52.98,7.37,0.2
26.18,13.31,52.73,7.41,0.38
27.09,12.92,52.37,7.48,0.14
26.39,13.29,52.71,7.36,0.24
26.54,13.43,52.42,7.35,0.26
27.0,12.98,52.54,7.19,0.29
26.66,13.6,52.47,7.14,0.13
25.82,13.43,52.98,7.56,0.21
26.5,13.74,52.6,7.07,0.09
26.91,12.72,52.64,7.48,0.26
26.88,13.16,52.2,7.56,0.2
27.1,13.49,52.0,7.24,0.17
26.17,13.32,52.81,7.49,0.22
26.72,13.09,52.35,7.58,0.27
26.43,13.59,52.73,7.09,0.17
26.37,12.85,53.52,7.08,0.19
26.0,12.87,53.54,7.23,0.35
27.61,13.36,51.81,7.09,0.12
26.89,12.79,52.65,7.38,0.28
26.04,13.35,52.5,7.93,0.18
26.19,13.77,52.69,7.22,0.13
26.79,12.72,52.93,7.25,0.32
26.73,13.2,52.57,6.92,0.57
26.13,13.31,52.95,7.27,0.35
27.44,13.04,52.41,6.88,0.23
25.94,14.32,52.56,6.87,0.31
26.85,13.01,52.31,7.56,0.26
26.04,14.11,52.58,7.01,0.25
26.81,13.26,52.86,6.88,0.19
25.6,13.75,52.96,7.51,0.17
25.46,12.09,52.89,9.11,0.45
26.51,13.89,52.06,7.26,0.28
26.7,13.29,53.09,6.8,0.13
26.13,13.05,53.47,7.1,0.26
26.82,13.33,52.51,7.06,0.28
27.33,13.89,51.63,6.99,0.15
26.19,13.36,52.74,7.48,0.22
26.28,13.34,52.45,7.77,0.17
27.92,11.5,53.18,7.04,0.35
27.25,13.04,52.84,6.77,0.11
26.87,13.0,52.97,6.99,0.17
26.5,13.15,52.39,7.62,0.35
26.85,13.1,52.58,7.11,0.36
26.98,13.21,52.56,7.09,0.17
26.52,13.21,52.65,7.36,0.26
26.55,13.27,52.67,7.32,0.19
26.24,13.39,52.84,7.38,0.15
25.92,12.95,53.55,7.34,0.23
26.6,13.41,52.46,7.23,0.31
26.39,13.15,52.92,7.42,0.13
25.94,14.1,51.56,7.73,0.67
26.55,13.19,52.71,7.39,0.16
26.86,13.13,52.72,7.04,0.25
25.95,13.83,52.25,7.68,0.3
26.85,12.56,53.16,7.19,0.24
27.56,12.6,52.84,6.85,0.15
26.53,14.15,51.71,7.49,0.12
26.68,13.67,52.71,6.92,0.02
26.63,13.22,52.47,7.54,0.13
27.12,12.84,52.9,6.95,0.2
26.87,13.16,52.39,7.3,0.28
25.72,14.25,52.35,7.57,0.11
26.57,12.99,52.92,7.37,0.15
26.21,13.39,53.38,6.95,0.08
27.85,12.76,52.18,7.07,0.14
26.28,13.35,52.27,7.81,0.29
26.85,13.0,52.97,7.07,0.1
27.68,13.16,52.02,6.96,0.17
26.16,13.26,52.97,7.43,0.19
27.05,12.26,53.3,7.3,0.1
26.05,13.51,52.71,7.51,0.22
27.63,12.8,52.48,6.9,0.19
26.27,13.75,52.42,7.4,0.16
26.81,13.45,52.68,6.89,0.17
26.11,12.15,53.55,8.02,0.17
26.52,13.16,52.82,7.18,0.32
26.93,12.68,52.89,7.32,0.19
28.09,12.79,51.74,7.25,0.13
26.41,14.24,52.71,6.54,0.1
26.26,13.05,53.37,7.15,0.17
25.8,13.41,53.47,7.06,0.27
25.52,13.85,53.09,7.16,0.38
27.0,14.42,51.71,6.66,0.21
26.3,13.28,53.26,7.09,0.07
26.43,12.97,53.12,7.38,0.09
26.88,13.33,52.35,7.18,0.26
26.34,13.48,53.36,6.63,0.19
26.16,14.75,51.55,7.19,0.35
26.69,13.64,52.58,6.95,0.15
26.99,13.29,52.17,7.39,0.16
26.09,13.44,52.59,7.66,0.23
26.48,13.1,52.76,7.5,0.16
25.46,12.0,54.43,8.01,0.1
25.63,13.08,53.34,7.54,0.4
26.77,13.6,51.75,7.74,0.14
27.16,13.02,52.32,7.33,0.17
26.59,13.51,52.55,7.07,0.29
27.21,13.01,52.64,7.01,0.12
24.79,11.86,54.73,8.48,0.15
26.42,13.08,53.32,7.11,0.07
26.7,13.32,52.6,7.16,0.22
25.96,13.56,53.17,7.13,0.18
26.82,13.44,52.47,7.14,0.14
26.3,13.34,53.1,6.97,0.29
25.98,13.42,53.34,7.11,0.15
27.31,13.28,51.84,7.27,0.29
26.67,13.24,52.74,7.06,0.28
26.99,13.62,52.4,6.94,0.05
27.16,13.16,52.83,6.69,0.16
27.29,13.0,52.22,7.22,0.27
26.39,13.33,52.79,7.34,0.16
26.63,12.82,52.62,7.61,0.31
26.37,13.61,52.51,7.33,0.18
26.53,13.04,52.98,7.25,0.21
26.28,13.14,53.03,7.33,0.22
26.41,13.07,53.52,6.71,0.29
26.57,13.49,52.58,7.16,0.2
26.89,13.89,52.05,6.96,0.21
26.54,13.24,53.4,6.68,0.14
26.85,13.28,52.56,7.22,0.08
26.13,13.26,53.13,7.4,0.08
26.16,13.26,53.27,7.09,0.22
26.38,13.18,52.79,7.47,0.18
26.15,13.36,53.19,7.12,0.19
26.72,13.22,52.41,7.41,0.25
26.91,14.29,51.88,6.86,0.06
26.38,13.12,52.97,7.2,0.33
27.04,13.04,53.11,6.67,0.15
26.72,13.5,52.43,7.19,0.16
26.71,13.43,52.67,7.05,0.14
26.42,13.24,52.5,7.56,0.28
26.78,12.73,52.97,7.21,0.31
25.46,14.49,52.06,7.81,0.17
27.08,12.83,52.76,7.14,0.19
26.76,13.75,52.26,7.1,0.13
26.53,13.42,52.19,7.26,0.61
27.44,12.68,52.9,6.83,0.16
26.93,13.29,52.36,7.22,0.19
26.23,14.0,52.17,7.34,0.26
26.68,13.84,53.03,6.39,0.07
26.42,13.76,52.02,7.67,0.13
26.21,13.58,52.68,7.32,0.21
26.05,13.63,52.71,7.16,0.43
26.13,13.26,52.74,7.55,0.32
26.21,13.49,53.21,6.88,0.21
26.93,13.14,52.65,6.94,0.34
27.18,14.62,51.32,6.75,0.13
26.38,12.4,53.53,7.54,0.15
26.78,12.53,53.98,6.45,0.26
27.29,13.33,51.64,7.61,0.13
26.41,13.24,53.21,6.97,0.17
26.16,13.37,52.75,7.53,0.2
26.93,13.47,52.57,6.89,0.14
26.35,13.68,52.79,6.94,0.24
26.7,12.55,53.35,7.28,0.12
26.43,12.76,53.88,6.79,0.14
25.65,13.24,53.51,7.4,0.21
26.76,13.26,52.4,7.28,0.3
26.13,13.38,52.7,7.58,0.21
26.51,13.17,53.18,6.94,0.2
26.14,13.52,52.85,7.15,0.33
25.96,13.96,52.37,7.55,0.16
26.86,12.96,52.64,7.38,0.16
26.69,13.36,52.47,7.23,0.24
26.87,13.61,51.85,7.28,0.38
26.94,12.88,52.84,7.18,0.16
26.16,13.99,51.91,7.62,0.33
26.6,13.28,52.89,7.05,0.17
27.03,12.99,52.4,7.42,0.16
26.74,13.34,52.39,7.38,0.15
26.41,13.31,52.96,7.16,0.16
26.54,13.54,52.29,7.3,0.32
26.52,13.5,52.38,7.45,0.15
25.42,14.23,53.04,7.28,0.03
27.08,12.88,52.59,7.19,0.25
27.17,13.66,51.93,7.03,0.2
26.18,13.38,52.62,7.61,0.21
27.02,13.59,52.23,6.97,0.19
26.92,13.31,52.61,7.08,0.09
26.19,13.43,52.97,7.19,0.23
26.23,13.62,52.89,7.15,0.11
26.7,12.9,52.79,7.29,0.32
26.18,13.27,53.13,7.2,0.23
26.0,13.41,53.1,7.2,0.29
26.36,13.17,53.59,6.71,0.18
27.84,13.92,51.55,6.7,0.0
25.96,13.31,53.21,7.31,0.21
27.32,13.43,51.84,7.27,0.13
26.7,14.02,52.23,6.77,0.28
26.04,14.22,52.32,7.33,0.09
26.5,13.25,52.57,7.52,0.16
26.58,13.68,51.89,7.67,0.17
26.2,13.39,52.78,7.4,0.24
26.67,13.16,52.48,7.47,0.22
26.4,13.16,52.77,7.45,0.22
26.76,12.7,52.55,7.8,0.18
26.89,13.48,52.31,7.05,0.27
26.55,13.35,52.68,7.3,0.12
27.14,13.21,52.33,7.11,0.21
26.59,13.55,52.3,7.26,0.3
26.3,12.96,53.35,7.22,0.18
27.13,12.77,53.47,6.42,0.21
27.67,12.19,53.42,6.58,0.14
26.33,12.55,54.01,6.89,0.22
