PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.104,0.1,0.796,0.155,0.618,0.567,0.049,0.046,0.1,0.104,0.796,0.579,0.176,0.343,0.097,0.025,0.486,0.234,0.28,0.572,0.225,0.183,0.338,0.604,0.396,0.083,-1.007,-0.247,-0.454,0.322
0.098,0.092,0.81,0.251,0.507,0.421,0.052,0.132,0.092,0.098,0.81,0.491,0.202,0.353,0.12,0.03,0.385,0.305,0.311,0.441,0.293,0.279,0.255,0.543,0.457,0.015,-0.437,-0.117,-0.383,0.086
0.169,0.053,0.778,0.291,0.452,0.417,0.084,0.035,0.053,0.169,0.778,0.455,0.288,0.386,0.208,0.042,0.441,0.193,0.366,0.362,0.233,0.441,0.368,0.627,0.373,0.682,-0.649,0.084,-0.071,0.29
0.132,0.099,0.769,0.16,0.58,0.481,0.047,0.099,0.099,0.132,0.769,0.514,0.208,0.377,0.118,0.028,0.307,0.358,0.335,0.524,0.264,0.226,0.245,0.566,0.434,-0.052,-0.85,-0.281,-0.382,0.059
0.103,0.139,0.758,0.203,0.53,0.464,0.061,0.091,0.139,0.103,0.758,0.518,0.188,0.379,0.133,0.015,0.376,0.318,0.306,0.461,0.273,0.267,0.233,0.542,0.458,0.007,-0.586,-0.237,-0.518,0.201
0.093,0.123,0.784,0.239,0.457,0.387,0.035,0.094,0.123,0.093,0.784,0.467,0.216,0.39,0.157,0.019,0.322,0.329,0.349,0.404,0.349,0.263,0.219,0.58,0.42,0.255,-0.504,-0.167,-0.626,0.033
0.188,0.144,0.668,0.178,0.452,0.375,0.043,0.101,0.144,0.188,0.668,0.442,0.269,0.317,0.067,0.043,0.471,0.264,0.264,0.404,0.356,0.231,0.163,0.399,0.601,0.135,-0.154,-0.309,-0.271,0.103
0.107,0.122,0.771,0.223,0.519,0.469,0.034,0.059,0.122,0.107,0.771,0.505,0.17,0.385,0.12,0.028,0.487,0.276,0.237,0.462,0.29,0.221,0.245,0.479,0.521,0.065,-0.747,-0.496,-0.63,0.201
0.097,0.112,0.791,0.179,0.56,0.459,0.026,0.09,0.112,0.097,0.791,0.425,0.175,0.444,0.108,0.049,0.369,0.243,0.388,0.507,0.257,0.213,0.328,0.549,0.451,0.339,-0.86,-0.113,-0.507,-0.016
0.164,0.151,0.685,0.192,0.452,0.425,0.014,0.055,0.151,0.164,0.685,0.425,0.219,0.356,0.082,0.027,0.452,0.288,0.26,0.438,0.37,0.178,0.151,0.452,0.548,0.105,-0.55,-0.576,-0.594,0.099
0.163,0.097,0.74,0.229,0.488,0.434,0.12,0.081,0.097,0.163,0.74,0.496,0.306,0.322,0.109,0.039,0.446,0.244,0.31,0.376,0.345,0.318,0.213,0.504,0.496,0.126,-0.272,-0.222,-0.174,0.25
0.116,0.113,0.771,0.215,0.506,0.42,0.039,0.094,0.113,0.116,0.771,0.47,0.204,0.362,0.119,0.041,0.461,0.251,0.287,0.436,0.298,0.26,0.262,0.5,0.5,0.138,-0.54,-0.227,-0.46,0.113
0.097,0.198,0.704,0.146,0.534,0.486,0.036,0.04,0.198,0.097,0.704,0.522,0.158,0.385,0.109,0.032,0.457,0.243,0.3,0.474,0.3,0.219,0.243,0.534,0.466,0.146,-0.734,-0.196,-0.701,0.294
0.157,0.139,0.704,0.236,0.431,0.343,0.042,0.125,0.139,0.157,0.704,0.421,0.236,0.361,0.12,0.037,0.421,0.292,0.287,0.37,0.347,0.301,0.213,0.463,0.537,0.243,-0.221,-0.147,-0.332,0.077
0.142,0.137,0.722,0.167,0.509,0.448,0.04,0.057,0.137,0.142,0.722,0.495,0.226,0.347,0.113,0.035,0.42,0.285,0.295,0.448,0.307,0.248,0.238,0.524,0.476,0.207,-0.628,-0.248,-0.44,0.177
0.227,0.118,0.655,0.168,0.445,0.42,0.008,0.05,0.118,0.227,0.655,0.437,0.277,0.319,0.118,0.008,0.513,0.252,0.235,0.429,0.311,0.193,0.261,0.496,0.504,0.596,-0.56,-0.62,-0.336,0.19
0.147,0.105,0.748,0.245,0.459,0.384,0.04,0.09,0.105,0.147,0.748,0.48,0.231,0.363,0.157,0.038,0.413,0.302,0.285,0.419,0.294,0.283,0.239,0.514,0.486,0.179,-0.492,-0.26,-0.4,0.086
0.171,0.144,0.685,0.205,0.428,0.337,0.054,0.105,0.144,0.171,0.685,0.462,0.276,0.318,0.11,0.042,0.452,0.264,0.284,0.372,0.377,0.244,0.178,0.452,0.548,0.224,-0.044,-0.235,-0.329,0.129
0.158,0.128,0.714,0.098,0.609,0.519,0.083,0.075,0.128,0.158,0.714,0.564,0.248,0.301,0.068,0.038,0.481,0.286,0.233,0.489,0.263,0.248,0.233,0.556,0.444,0.032,-0.711,-0.369,-0.191,0.198
0.176,0.147,0.676,0.162,0.479,0.397,0.076,0.088,0.147,0.176,0.676,0.429,0.288,0.382,0.103,0.029,0.397,0.262,0.341,0.391,0.365,0.244,0.215,0.494,0.506,0.45,-0.38,-0.281,-0.375,0.125
0.12,0.103,0.776,0.16,0.604,0.521,0.059,0.074,0.103,0.12,0.776,0.563,0.192,0.332,0.106,0.034,0.474,0.251,0.275,0.511,0.238,0.243,0.28,0.538,0.462,-0.117,-0.733,-0.313,-0.285,0.277
0.177,0.098,0.725,0.285,0.393,0.311,0.059,0.067,0.098,0.177,0.725,0.452,0.283,0.409,0.213,0.039,0.419,0.262,0.319,0.326,0.316,0.347,0.244,0.532,0.468,0.597,-0.324,-0.235,-0.301,0.145
0.124,0.111,0.765,0.195,0.523,0.47,0.03,0.064,0.111,0.124,0.765,0.503,0.201,0.359,0.111,0.03,0.466,0.279,0.255,0.483,0.309,0.215,0.252,0.483,0.517,0.049,-0.782,-0.378,-0.536,0.143
0.145,0.179,0.676,0.159,0.476,0.414,0.028,0.076,0.179,0.145,0.676,0.441,0.214,0.386,0.09,0.028,0.421,0.297,0.283,0.434,0.331,0.179,0.214,0.517,0.483,0.468,-0.52,-0.408,-0.595,0.06
0.126,0.071,0.803,0.214,0.558,0.444,0.057,0.122,0.071,0.126,0.803,0.556,0.214,0.298,0.109,0.048,0.444,0.294,0.262,0.512,0.245,0.243,0.239,0.474,0.526,-0.372,-0.407,-0.218,-0.189,0.112
0.102,0.092,0.806,0.246,0.529,0.455,0.046,0.074,0.092,0.102,0.806,0.548,0.178,0.369,0.135,0.018,0.462,0.295,0.243,0.471,0.292,0.234,0.218,0.483,0.517,-0.158,-0.583,-0.428,-0.493,0.268
0.15,0.09,0.76,0.198,0.533,0.467,0.12,0.066,0.09,0.15,0.76,0.548,0.299,0.317,0.141,0.039,0.41,0.24,0.35,0.422,0.278,0.32,0.281,0.608,0.392,0.234,-0.462,-0.072,-0.157,0.289
0.117,0.109,0.774,0.251,0.495,0.433,0.06,0.06,0.109,0.117,0.774,0.527,0.205,0.362,0.151,0.043,0.468,0.258,0.274,0.436,0.294,0.28,0.239,0.5,0.5,-0.028,-0.559,-0.268,-0.469,0.238
0.17,0.106,0.725,0.193,0.486,0.427,0.032,0.073,0.106,0.17,0.725,0.468,0.248,0.33,0.078,0.032,0.454,0.321,0.225,0.45,0.344,0.17,0.183,0.39,0.61,0.062,-0.446,-0.652,-0.403,0.068
0.122,0.1,0.778,0.225,0.463,0.408,0.035,0.074,0.1,0.122,0.778,0.482,0.248,0.344,0.141,0.045,0.367,0.322,0.312,0.441,0.27,0.26,0.251,0.563,0.437,0.305,-0.551,-0.202,-0.446,-0.081
0.157,0.147,0.696,0.166,0.47,0.346,0.051,0.134,0.147,0.157,0.696,0.433,0.267,0.341,0.074,0.032,0.415,0.272,0.313,0.406,0.382,0.207,0.184,0.465,0.535,0.268,-0.051,-0.155,-0.309,0.055
0.15,0.103,0.747,0.178,0.549,0.518,0.063,0.036,0.103,0.15,0.747,0.522,0.233,0.324,0.095,0.047,0.474,0.221,0.304,0.51,0.241,0.229,0.312,0.585,0.415,0.244,-0.746,-0.2,-0.246,0.245
0.151,0.127,0.723,0.157,0.536,0.422,0.036,0.084,0.127,0.151,0.723,0.56,0.217,0.289,0.114,0.048,0.536,0.253,0.211,0.464,0.313,0.229,0.247,0.494,0.506,-0.033,-0.488,-0.279,-0.299,0.243
0.133,0.153,0.714,0.177,0.527,0.448,0.044,0.108,0.153,0.133,0.714,0.493,0.187,0.355,0.089,0.03,0.527,0.217,0.256,0.473,0.276,0.222,0.296,0.502,0.498,0.236,-0.476,-0.179,-0.375,0.229
0.14,0.145,0.715,0.102,0.601,0.536,0.092,0.076,0.145,0.14,0.715,0.543,0.243,0.313,0.059,0.013,0.532,0.209,0.259,0.502,0.29,0.204,0.229,0.478,0.522,-0.084,-0.567,-0.376,-0.381,0.32
0.134,0.134,0.731,0.191,0.492,0.417,0.043,0.091,0.134,0.134,0.731,0.487,0.226,0.325,0.105,0.043,0.452,0.277,0.272,0.454,0.325,0.226,0.22,0.452,0.548,-0.029,-0.442,-0.247,-0.489,0.099
0.082,0.112,0.806,0.22,0.499,0.429,0.007,0.124,0.112,0.082,0.806,0.454,0.176,0.384,0.129,0.005,0.358,0.3,0.342,0.487,0.293,0.206,0.281,0.595,0.405,0.225,-0.647,-0.129,-0.656,0.013
0.114,0.114,0.772,0.212,0.544,0.44,0.063,0.13,0.114,0.114,0.772,0.547,0.193,0.323,0.111,0.038,0.418,0.351,0.231,0.468,0.266,0.272,0.215,0.484,0.516,-0.277,-0.45,-0.279,-0.339,0.105
0.134,0.137,0.729,0.143,0.577,0.516,0.076,0.052,0.137,0.134,0.729,0.56,0.219,0.329,0.099,0.029,0.51,0.227,0.262,0.496,0.286,0.227,0.329,0.583,0.417,0.292,-0.758,-0.155,-0.356,0.374
0.129,0.139,0.732,0.209,0.472,0.399,0.044,0.106,0.139,0.129,0.732,0.49,0.224,0.33,0.101,0.026,0.454,0.299,0.247,0.433,0.343,0.24,0.188,0.459,0.541,-0.006,-0.311,-0.236,-0.454,0.109
0.135,0.114,0.751,0.176,0.534,0.474,0.058,0.056,0.114,0.135,0.751,0.53,0.233,0.344,0.113,0.034,0.436,0.287,0.277,0.467,0.312,0.232,0.229,0.523,0.477,0.058,-0.713,-0.355,-0.45,0.18
0.13,0.136,0.734,0.153,0.576,0.525,0.062,0.051,0.136,0.13,0.734,0.559,0.198,0.362,0.085,0.023,0.492,0.288,0.22,0.503,0.288,0.22,0.198,0.463,0.537,-0.153,-0.819,-0.488,-0.479,0.261
0.136,0.093,0.771,0.237,0.508,0.449,0.042,0.034,0.093,0.136,0.771,0.542,0.203,0.364,0.153,0.051,0.534,0.229,0.237,0.432,0.237,0.339,0.246,0.483,0.517,0.029,-0.677,-0.269,-0.262,0.262
0.053,0.088,0.86,0.294,0.504,0.412,0.053,0.118,0.088,0.053,0.86,0.5,0.167,0.408,0.149,0.048,0.36,0.294,0.346,0.456,0.285,0.276,0.298,0.575,0.425,0.082,-0.575,0.038,-0.532,0.04
0.129,0.162,0.709,0.232,0.398,0.337,0.057,0.073,0.162,0.129,0.709,0.441,0.265,0.394,0.161,0.023,0.404,0.249,0.347,0.328,0.386,0.289,0.213,0.563,0.437,0.633,-0.254,-0.101,-0.594,0.155
0.108,0.065,0.827,0.367,0.446,0.353,0.036,0.144,0.065,0.108,0.827,0.46,0.158,0.424,0.216,0.05,0.36,0.331,0.309,0.403,0.23,0.374,0.317,0.547,0.453,0.089,-0.551,-0.108,-0.334,0.017
0.089,0.21,0.701,0.204,0.42,0.344,0.038,0.096,0.21,0.089,0.701,0.408,0.204,0.446,0.121,0.025,0.357,0.306,0.338,0.382,0.433,0.204,0.191,0.484,0.516,0.457,-0.377,-0.13,-0.883,-0.012
0.142,0.125,0.733,0.087,0.634,0.564,0.076,0.07,0.125,0.142,0.733,0.544,0.23,0.311,0.055,0.017,0.538,0.186,0.276,0.541,0.259,0.189,0.297,0.535,0.465,0.041,-0.73,-0.31,-0.267,0.329
0.121,0.113,0.766,0.234,0.472,0.415,0.048,0.077,0.113,0.121,0.766,0.496,0.23,0.371,0.145,0.032,0.407,0.274,0.319,0.423,0.294,0.282,0.254,0.577,0.423,0.318,-0.55,-0.124,-0.446,0.125
0.098,0.134,0.768,0.176,0.584,0.534,0.058,0.053,0.134,0.098,0.768,0.582,0.164,0.388,0.151,0.013,0.438,0.275,0.287,0.519,0.239,0.239,0.297,0.615,0.385,0.062,-1.006,-0.292,-0.602,0.331
0.126,0.106,0.768,0.229,0.516,0.446,0.089,0.081,0.106,0.126,0.768,0.516,0.238,0.363,0.121,0.038,0.451,0.251,0.298,0.437,0.308,0.269,0.249,0.517,0.483,0.095,-0.48,-0.208,-0.356,0.222
0.099,0.074,0.827,0.28,0.461,0.342,0.037,0.148,0.074,0.099,0.827,0.465,0.222,0.374,0.173,0.045,0.325,0.333,0.342,0.395,0.28,0.329,0.235,0.547,0.453,0.07,-0.347,-0.091,-0.357,-0.132
0.132,0.141,0.727,0.159,0.546,0.458,0.048,0.088,0.141,0.132,0.727,0.524,0.203,0.335,0.075,0.04,0.498,0.264,0.238,0.502,0.282,0.176,0.251,0.485,0.515,0.084,-0.476,-0.318,-0.362,0.149
0.126,0.084,0.791,0.228,0.451,0.391,0.023,0.06,0.084,0.126,0.791,0.465,0.26,0.335,0.144,0.065,0.321,0.349,0.33,0.419,0.302,0.279,0.219,0.54,0.46,0.199,-0.608,-0.225,-0.447,-0.17
0.169,0.118,0.713,0.199,0.478,0.416,0.063,0.083,0.118,0.169,0.713,0.489,0.269,0.313,0.118,0.038,0.461,0.264,0.275,0.42,0.305,0.262,0.216,0.471,0.529,0.096,-0.36,-0.336,-0.324,0.152
0.097,0.108,0.796,0.182,0.584,0.502,0.041,0.067,0.108,0.097,0.796,0.543,0.167,0.364,0.119,0.041,0.457,0.26,0.283,0.509,0.253,0.234,0.294,0.532,0.468,-0.045,-0.841,-0.27,-0.467,0.212
0.099,0.083,0.817,0.263,0.524,0.451,0.078,0.096,0.083,0.099,0.817,0.501,0.208,0.393,0.158,0.025,0.394,0.265,0.341,0.453,0.263,0.311,0.282,0.554,0.446,0.017,-0.594,-0.103,-0.4,0.204
0.116,0.112,0.772,0.241,0.459,0.391,0.028,0.116,0.112,0.116,0.772,0.453,0.216,0.328,0.103,0.041,0.416,0.303,0.281,0.434,0.297,0.241,0.259,0.5,0.5,0.216,-0.335,-0.148,-0.444,0.0
0.132,0.103,0.765,0.232,0.485,0.387,0.066,0.118,0.103,0.132,0.765,0.502,0.247,0.329,0.114,0.046,0.414,0.31,0.276,0.416,0.325,0.281,0.192,0.464,0.536,-0.082,-0.297,-0.2,-0.332,0.07
0.132,0.132,0.735,0.203,0.476,0.39,0.054,0.094,0.132,0.132,0.735,0.493,0.242,0.338,0.119,0.05,0.426,0.278,0.296,0.418,0.326,0.257,0.217,0.497,0.503,0.129,-0.365,-0.163,-0.429,0.078
0.134,0.128,0.738,0.19,0.499,0.425,0.039,0.07,0.128,0.134,0.738,0.483,0.221,0.383,0.128,0.037,0.402,0.293,0.304,0.434,0.315,0.26,0.248,0.538,0.462,0.304,-0.672,-0.227,-0.453,0.105
0.136,0.158,0.706,0.2,0.46,0.377,0.03,0.107,0.158,0.136,0.706,0.48,0.213,0.352,0.105,0.036,0.449,0.304,0.247,0.413,0.336,0.233,0.184,0.468,0.532,0.147,-0.327,-0.307,-0.488,0.055
0.077,0.109,0.814,0.279,0.474,0.385,0.049,0.117,0.109,0.077,0.814,0.502,0.186,0.409,0.198,0.012,0.312,0.34,0.348,0.421,0.296,0.3,0.251,0.587,0.413,0.094,-0.494,-0.096,-0.607,0.109
0.119,0.113,0.768,0.214,0.516,0.432,0.043,0.107,0.113,0.119,0.768,0.49,0.2,0.351,0.11,0.049,0.388,0.328,0.284,0.452,0.293,0.27,0.232,0.519,0.481,-0.031,-0.624,-0.227,-0.432,0.035
0.067,0.158,0.775,0.281,0.444,0.362,0.031,0.105,0.158,0.067,0.775,0.451,0.147,0.473,0.167,0.06,0.29,0.319,0.391,0.424,0.299,0.288,0.301,0.636,0.364,0.515,-0.65,0.208,-0.653,-0.039
0.15,0.14,0.71,0.137,0.548,0.484,0.041,0.061,0.14,0.15,0.71,0.471,0.217,0.366,0.064,0.032,0.481,0.271,0.248,0.475,0.331,0.182,0.232,0.475,0.525,0.21,-0.733,-0.513,-0.437,0.131
0.123,0.106,0.772,0.198,0.54,0.437,0.048,0.104,0.106,0.123,0.772,0.535,0.205,0.319,0.095,0.052,0.462,0.291,0.248,0.473,0.272,0.239,0.205,0.445,0.555,-0.252,-0.416,-0.326,-0.32,0.103
0.098,0.101,0.801,0.162,0.598,0.52,0.058,0.061,0.101,0.098,0.801,0.566,0.197,0.327,0.107,0.035,0.434,0.269,0.298,0.506,0.312,0.228,0.266,0.561,0.439,-0.168,-0.838,-0.237,-0.455,0.283
0.104,0.082,0.814,0.179,0.602,0.467,0.035,0.154,0.082,0.104,0.814,0.563,0.172,0.298,0.092,0.032,0.399,0.364,0.237,0.538,0.236,0.226,0.205,0.439,0.561,-0.643,-0.486,-0.351,-0.279,0.047
0.132,0.12,0.748,0.192,0.526,0.459,0.079,0.09,0.12,0.132,0.748,0.5,0.241,0.346,0.128,0.023,0.391,0.278,0.331,0.432,0.342,0.278,0.248,0.538,0.462,0.027,-0.578,-0.191,-0.428,0.249
0.131,0.136,0.733,0.192,0.5,0.415,0.046,0.103,0.136,0.131,0.733,0.469,0.218,0.377,0.126,0.028,0.405,0.292,0.303,0.441,0.3,0.269,0.238,0.5,0.5,0.146,-0.532,-0.185,-0.452,0.085
0.098,0.142,0.759,0.232,0.468,0.37,0.039,0.096,0.142,0.098,0.759,0.464,0.197,0.405,0.138,0.046,0.398,0.284,0.317,0.409,0.324,0.265,0.236,0.527,0.473,0.282,-0.445,-0.101,-0.56,0.047
0.149,0.151,0.7,0.217,0.443,0.354,0.014,0.091,0.151,0.149,0.7,0.469,0.203,0.363,0.12,0.057,0.449,0.306,0.246,0.417,0.317,0.231,0.206,0.446,0.554,0.202,-0.382,-0.308,-0.477,0.03
0.143,0.106,0.751,0.227,0.485,0.407,0.076,0.061,0.106,0.143,0.751,0.496,0.258,0.355,0.149,0.065,0.437,0.236,0.327,0.4,0.307,0.314,0.258,0.522,0.478,0.191,-0.505,-0.125,-0.33,0.167
